,player_id,Player,pos,age,tm,g,gs,mp,fg,fga,fg_percent,threepoint,threepoint_att,threepoint_percent,twopoint,twopoint_att,twopoint_percent,ft,fta,ft_percent,orb,drb,trb,ast,stl,blk,tov,pf,pts,per,ts_percent,threepoint_attr,ftr,orb_percent,drb_percent,trb_percent,ast_percent,stl_percent,blk_percent,tov_percent,usg_percent,ows,dws,ws,ws_per_48,obpm,dbpm,bpm,vorp,class
161,161,De'Aaron Fox,PG,23,SAC,58,58,2036,9.4,19.6,0.477,1.8,5.7,0.322,7.5,14.0,0.539,5.3,7.4,0.719,0.6,3.0,3.6,7.4,1.5,0.5,3.1,3.0,25.8,20.7,0.565,0.288,0.376,1.8,9.4,5.5,32.7,2.1,1.1,11.9,31.0,3.4,0.8,4.2,0.098,3.1,-1.3,1.8,2.0,2
357,357,Dejounte Murray,PG,24,SAS,67,67,2139,7.4,16.4,0.453,1.1,3.3,0.317,6.4,13.0,0.488,1.8,2.3,0.791,1.0,7.0,8.0,6.1,1.7,0.1,2.0,2.3,17.7,16.5,0.509,0.204,0.138,2.8,21.1,11.8,25.9,2.3,0.3,10.2,23.4,0.7,2.6,3.3,0.074,-0.2,1.0,0.8,1.5,2
123,123,DeMar DeRozan,PF,31,SAS,61,61,2056,8.0,16.1,0.495,0.3,1.3,0.257,7.6,14.8,0.515,6.8,7.7,0.88,0.7,3.8,4.5,7.4,1.0,0.3,2.1,2.2,23.0,22.0,0.591,0.08,0.478,2.0,11.6,6.7,32.0,1.3,0.6,9.7,26.1,5.9,1.5,7.4,0.172,3.2,-0.1,3.1,2.6,2
454,454,Pascal Siakam,PF,26,TOR,56,56,2006,7.8,17.2,0.455,1.3,4.4,0.297,6.5,12.8,0.509,4.5,5.4,0.827,1.7,5.6,7.3,4.5,1.1,0.7,2.3,3.1,21.5,17.7,0.547,0.256,0.313,5.0,17.6,11.1,20.5,1.5,1.8,10.6,26.3,2.3,2.0,4.2,0.101,1.0,-0.3,0.8,1.4,2
200,200,James Harden,PG-SG,31,TOT,44,43,1609,7.7,16.4,0.466,2.7,7.5,0.362,4.9,8.9,0.553,6.2,7.2,0.861,0.8,7.0,7.8,10.6,1.2,0.7,4.0,2.2,24.2,24.5,0.618,0.455,0.44,2.5,20.6,11.9,44.4,1.6,1.8,16.8,28.4,5.3,1.7,7.0,0.208,6.2,1.0,7.2,3.7,2
438,438,Derrick Rose,PG,32,TOT,50,3,1279,8.1,17.2,0.47,1.4,3.6,0.388,6.7,13.6,0.492,3.1,3.6,0.866,0.6,3.1,3.7,5.9,1.4,0.5,2.2,1.6,20.7,18.3,0.55,0.211,0.208,1.7,9.3,5.5,28.0,1.9,1.4,10.5,25.8,1.6,1.6,3.1,0.118,1.6,0.3,1.9,1.3,2
503,503,Nikola Vučević,C,30,TOT,70,70,2348,10.2,21.4,0.477,2.7,6.7,0.4,7.5,14.7,0.513,2.0,2.4,0.84,2.2,10.3,12.5,4.1,1.0,0.7,1.9,2.1,25.1,22.9,0.56,0.315,0.112,6.5,30.9,18.5,21.3,1.3,1.8,7.9,29.3,3.3,3.0,6.3,0.129,4.9,0.4,5.3,4.4,2
294,294,Caris LeVert,SG,26,TOT,47,39,1486,8.7,19.7,0.441,2.0,6.3,0.326,6.7,13.5,0.495,3.5,4.4,0.811,0.8,4.4,5.2,5.9,1.6,0.7,2.5,2.5,23.0,17.8,0.531,0.317,0.221,2.5,13.1,7.8,25.4,2.1,1.7,10.2,28.7,0.9,1.5,2.4,0.077,0.9,-0.5,0.4,0.9,2
347,347,Donovan Mitchell,PG,24,UTA,53,53,1771,9.7,22.2,0.438,3.6,9.4,0.386,6.1,12.8,0.476,5.4,6.4,0.845,1.0,3.8,4.8,5.6,1.1,0.3,3.0,2.4,28.5,21.3,0.569,0.423,0.29,3.1,10.6,7.0,26.7,1.4,0.7,10.7,33.5,3.9,2.2,6.2,0.167,4.6,-0.2,4.3,2.8,2
101,101,Jordan Clarkson,SG,28,UTA,68,1,1818,9.0,21.3,0.425,4.1,11.9,0.347,4.9,9.4,0.523,2.6,2.9,0.896,0.9,4.5,5.4,3.3,1.2,0.2,2.3,2.2,24.8,17.1,0.549,0.557,0.134,2.9,12.7,8.0,15.3,1.6,0.4,9.2,29.7,1.7,2.5,4.2,0.111,1.8,-0.4,1.4,1.6,2
105,105,Mike Conley,PG,33,UTA,51,51,1498,6.8,15.4,0.444,3.3,8.1,0.412,3.5,7.3,0.479,2.9,3.4,0.852,0.9,3.4,4.3,7.3,1.7,0.2,2.4,2.4,19.9,19.2,0.589,0.523,0.222,2.7,9.6,6.3,30.6,2.3,0.5,12.4,23.1,4.0,2.1,6.1,0.197,3.6,1.3,4.9,2.6,2
37,37,Bradley Beal,SG,27,WAS,60,60,2147,11.2,23.2,0.485,2.2,6.3,0.349,9.1,16.9,0.535,6.8,7.7,0.889,1.2,3.5,4.7,4.4,1.2,0.4,3.1,2.3,31.5,22.7,0.593,0.27,0.332,3.6,10.4,7.0,21.3,1.5,0.9,10.6,34.1,4.2,1.7,5.9,0.132,4.8,-1.4,3.4,2.9,2
516,516,Russell Westbrook,PG,32,WAS,65,65,2369,8.3,18.8,0.439,1.3,4.1,0.315,7.0,14.7,0.475,4.1,6.3,0.656,1.7,9.7,11.4,11.6,1.4,0.3,4.7,2.9,22.0,19.5,0.509,0.221,0.334,4.9,28.6,16.8,48.6,1.7,0.8,18.0,30.2,0.5,3.2,3.7,0.075,2.6,1.1,3.7,3.4,2
