Player,pos,age,tm,g,gs,mp,fg,fga,fg_percent,threepoint,threepoint_att,threepoint_percent,twopoint,twopoint_att,twopoint_percent,ft,fta,ft_percent,orb,drb,trb,ast,stl,blk,tov,pf,pts
Willy Hernangómez,C,26,NOP,47,12,846,6.4,11.4,0.563,0.0,0.4,0.1,6.4,11.0,0.581,2.6,4.0,0.667,5.0,9.2,14.2,2.1,0.9,1.0,1.4,2.9,15.5
Tyler Herro,SG,21,MIA,54,15,1635,6.8,15.4,0.439,2.4,6.5,0.36,4.4,8.9,0.498,2.1,2.6,0.803,0.6,5.4,5.9,4.1,0.8,0.4,2.2,1.6,17.9
Buddy Hield,SG,28,SAC,71,71,2433,6.0,14.7,0.406,4.2,10.7,0.391,1.8,4.0,0.446,1.3,1.5,0.846,0.4,4.5,4.9,3.8,0.9,0.4,1.9,2.6,17.4
George Hill,PG,34,TOT,30,17,672,5.1,10.6,0.482,1.7,4.3,0.388,3.4,6.3,0.547,2.1,2.7,0.8,0.9,2.4,3.3,3.9,1.2,0.3,1.7,1.7,14.0
Solomon Hill,PF,29,ATL,71,16,1513,2.5,7.1,0.359,1.6,5.0,0.321,0.9,2.0,0.453,0.8,1.1,0.761,1.0,4.1,5.1,1.8,1.2,0.3,1.0,2.8,7.5
Nate Hinton,SG,21,DAL,21,0,93,5.8,16.3,0.357,1.5,7.4,0.211,4.3,8.9,0.478,2.7,3.9,0.7,0.4,3.1,3.5,3.1,2.7,0.8,1.9,3.1,15.9
Jaylen Hoard,SF,21,OKC,19,0,320,5.0,9.9,0.5,0.0,1.2,0.0,5.0,8.7,0.571,3.2,4.6,0.683,2.4,5.0,7.3,2.7,1.5,0.6,1.9,2.1,13.1
Aaron Holiday,PG,24,IND,66,8,1176,5.2,13.3,0.39,2.1,5.6,0.368,3.2,7.8,0.406,2.1,2.5,0.819,0.5,2.3,2.7,3.8,1.4,0.4,2.0,2.9,14.5
Jrue Holiday,PG,30,MIL,59,56,1907,7.8,15.5,0.503,2.1,5.3,0.392,5.7,10.2,0.561,2.0,2.6,0.787,1.4,3.7,5.1,6.7,1.8,0.7,2.4,1.9,19.7
Justin Holiday,SG,31,IND,72,52,2183,4.3,10.3,0.413,2.9,7.5,0.382,1.4,2.8,0.494,1.1,1.4,0.788,0.5,3.7,4.2,2.0,1.2,0.7,0.9,2.2,12.5
Rondae Hollis-Jefferson,PF,26,POR,11,1,107,3.0,6.1,0.5,0.0,0.3,0.0,3.0,5.7,0.529,3.0,5.4,0.563,3.7,5.0,8.7,4.4,0.7,1.3,0.7,5.0,9.1
Richaun Holmes,C,27,SAC,61,61,1782,7.4,11.6,0.637,0.0,0.2,0.182,7.4,11.4,0.645,2.7,3.4,0.794,2.9,7.3,10.2,2.0,0.8,1.9,1.5,4.3,17.6
Rodney Hood,SF,28,TOT,55,5,942,3.6,9.9,0.362,1.3,4.3,0.301,2.3,5.6,0.408,0.9,1.1,0.857,0.9,3.1,3.9,2.0,0.9,0.3,1.4,2.8,9.4
Al Horford,C,34,OKC,28,28,782,7.5,16.6,0.45,2.6,7.0,0.368,4.9,9.6,0.51,0.8,1.0,0.818,1.3,7.3,8.7,4.3,1.2,1.2,1.3,2.2,18.3
Talen Horton-Tucker,SG,20,LAL,65,4,1304,6.2,13.5,0.458,1.0,3.6,0.282,5.2,9.9,0.522,2.8,3.6,0.775,0.7,4.0,4.7,5.0,1.7,0.6,2.9,3.5,16.2
Danuel House Jr.,SF,27,HOU,36,23,932,4.2,10.5,0.404,2.1,6.0,0.346,2.2,4.5,0.483,1.6,2.4,0.651,0.7,4.4,5.1,2.7,0.8,0.6,1.4,2.6,12.2
Dwight Howard,C,35,PHI,69,6,1196,5.4,9.1,0.587,0.2,0.6,0.25,5.2,8.5,0.611,3.6,6.3,0.576,5.7,11.7,17.5,1.8,0.9,1.9,3.4,6.0,14.5
Markus Howard,SG,21,DEN,37,1,205,7.0,18.6,0.377,3.2,11.4,0.277,3.9,7.2,0.537,1.2,1.6,0.778,0.2,3.5,3.7,3.2,0.7,0.2,3.2,4.0,18.4
Kevin Huerter,SG,22,ATL,69,49,2126,5.4,12.4,0.432,2.4,6.5,0.363,3.0,5.8,0.51,0.8,1.1,0.781,0.6,3.3,3.9,4.1,1.4,0.3,1.3,2.8,13.9
Elijah Hughes,SF,22,UTA,18,0,64,5.6,16.9,0.333,4.5,12.9,0.348,1.1,3.9,0.286,1.7,2.3,0.75,0.6,4.5,5.1,3.4,0.6,0.6,3.4,0.6,17.4
De'Andre Hunter,SF,23,ATL,23,19,678,6.4,13.2,0.484,1.6,5.0,0.326,4.7,8.1,0.582,3.9,4.5,0.859,0.9,4.9,5.8,2.3,1.0,0.6,1.5,3.1,18.3
Chandler Hutchison,SF,24,TOT,25,1,346,4.1,10.7,0.379,0.8,2.3,0.364,3.2,8.4,0.383,2.2,2.6,0.84,0.6,7.5,8.1,1.8,1.2,0.5,2.1,3.4,11.1
